ad_id,source,ad_start,days_active,spend,impressions,clicks,ctr,n_leads,inbounded_perc,high_leads_perc,adult_leads_perc,z3_coverage,n_connected_calls,revenue,roas
120200176763890164,fb,"12 October, 2023",49,"22,513.79","1,382,232","6,264",0.453180074,679,77.61,13.99,50.37,26.38,8,"42,300",1.88
120200449814490164,fb,"14 October, 2023",15,553.32,"23,049",64,0.2776693132023081,10,100,50,10,40,0,0,0
120200484217500164,fb,"15 October, 2023",20,"1,533.61","70,181",346,0.49301092888388595204,22,86.36,31.82,22.73,21.05,0,0,0
120200484276340164,fb,"15 October, 2023",23,601.03,"25,237",158,0.6260649047034,12,75,16.67,8.33,55.56,0,0,0
120200484292360164,fb,"15 October, 2023",19,194.96,"8,201",34,0.41458358736739422022,2,100,0,0,50,0,0,0
120200857678980164,fb,"21 October, 2023",23,"7,914.1","102,425",853,0.83280449109104222602,84,72.62,27.38,22.62,24.59,0,"15,500",1.96
120200922225290164,fb,"2 November, 2023",88,"127,189.45","6,895,389","35,441",0.51,"5,516",68.09,16.77,20.67,23.96,7,"59,500",0.467806096
120200922225330164,fb,"7 December, 2023",35,"5,539.21","295,448","1,264",0.427824862581571038,203,67.98,17.73,15.76,32.61,0,"9,000",1.62
120200922225460164,fb,"2 November, 2023",54,"6,528.98","321,464","1,435",0.4463952417689072,236,81.78,30.93,24.15,44.56,0,"14,500",2.22
120200922225570164,fb,"29 November, 2023",50,"29,981.68","1,408,143","6,158",0.43731353988906,"1,018",71.71,20.73,20.43,27.95,0,"14,000",0.46695181857721115028
120200922225580164,fb,"2 November, 2023",22,769.74,"25,081",107,0.43,17,82.35,58.82,5.88,50,0,"5,000",6.5
120200922225600164,fb,"2 November, 2023",35,"8,724.49","302,595","2,886",0.9537500619640113022,316,70.57,29.75,14.87,27.35,4,"5,500",0.6304093
120201145151240164,fb,"28 October, 2023",9,435.59,"11,212",110,0.9810916874777025,3,100,33.33,0,33.33,0,0,0
120201145151290164,fb,"28 October, 2023",16,"1,697.03","46,333",409,0.88274016,18,83.33,11.11,11.11,13.33,0,0,0
