ad_id,source,ad_start,ad_end,days_active,spend,impressions,clicks,ctr,n_leads,inbounded_perc,high_leads_perc,adult_leads_perc,connected_call_perc,revenue,roas
120200176763890164,fb,"12 October, 2023","29 November, 2023",49,"22,513.79","1,382,232","6,264",0.453180074,678,77.58,14.01,50.29,0,"42,300",1.88
120200380862490164,fb,"13 October, 2023","8 November, 2023",8,656.17,"16,037",93,0.5799089605287772027,0,,,,,0,0
120200382263810164,fb,"13 October, 2023","7 November, 2023",15,944.19,"16,955",86,0.5072250073724565025,0,,,,,0,0
120200382328750164,fb,"13 October, 2023","16 October, 2023",4,65.08,751,6,0.8,0,,,,,0,0
120200449814490164,fb,"14 October, 2023","2 November, 2023",15,553.32,"23,049",64,0.2776693132023081,10,100,50,10,0,0,0
120200484217500164,fb,"15 October, 2023","7 November, 2023",20,"1,533.61","70,181",346,0.49301092888388595204,22,86.36,31.82,22.73,0,0,0
120200484276340164,fb,"15 October, 2023","17 November, 2023",23,601.03,"25,237",158,0.6260649047034,12,75,16.67,8.33,0,0,0
120200484292360164,fb,"15 October, 2023","6 November, 2023",19,194.96,"8,201",34,0.41458358736739422022,2,100,0,0,0,0,0
120200754028270164,fb,"19 October, 2023","21 October, 2023",3,11.34,495,3,0.60606060606060606061,0,,,,,0,0
120200857678980164,fb,"21 October, 2023","19 November, 2023",23,"7,914.1","102,425",853,0.83280449109104222602,84,72.62,27.38,22.62,0,"15,500",1.96
120200922225290164,fb,"2 November, 2023","30 January, 2024",88,"127,189.45","6,895,389","35,441",0.51,"5,509",68.12,16.77,20.66,100,"59,500",0.467806096
120200922225330164,fb,"7 December, 2023","10 January, 2024",35,"5,539.21","295,448","1,264",0.427824862581571038,203,67.98,17.73,15.76,0,"9,000",1.62
120200922225460164,fb,"2 November, 2023","4 January, 2024",54,"6,528.98","321,464","1,435",0.4463952417689072,236,81.78,30.93,24.15,0,"14,500",2.22
120200922225570164,fb,"29 November, 2023","19 January, 2024",50,"29,981.68","1,408,143","6,158",0.43731353988906,"1,017",71.78,20.75,20.45,0,"14,000",0.46695181857721115028
120200922225580164,fb,"2 November, 2023","28 December, 2023",22,769.74,"25,081",107,0.43,17,82.35,58.82,5.88,0,"5,000",6.5
120200922225600164,fb,"2 November, 2023","7 December, 2023",35,"8,724.49","302,595","2,886",0.9537500619640113022,316,70.57,29.75,14.87,0,"5,500",0.6304093
120201056553390164,fb,"25 October, 2023","5 November, 2023",8,150.3,"5,768",27,0.4680998613037,0,,,,,0,0
120201057768790164,fb,"25 October, 2023","1 November, 2023",7,203.58,"5,151",27,0.524170064065230052,0,,,,,0,0
120201057778320164,fb,"25 October, 2023","29 November, 2023",27,331.79,"22,055",87,0.39,0,,,,,0,0
120201059425300164,fb,"25 October, 2023","5 February, 2024",102,"69,614.88","2,396,318","15,509",0.6472012479145088,0,,,,,0,0
120201059580820164,fb,"25 October, 2023","8 December, 2023",37,"8,166.17","274,403","1,523",0.55502308648229065,0,,,,,0,0
120201059580830164,fb,"25 October, 2023","20 November, 2023",14,917.78,"23,397",112,0.48,0,,,,,0,0
120201145151160164,fb,"28 October, 2023","30 October, 2023",3,168.58,"3,168",17,0.54,0,,,,,0,0
120201145151240164,fb,"28 October, 2023","22 November, 2023",9,435.59,"11,212",110,0.9810916874777025,3,100,33.33,0,0,0,0
120201145151290164,fb,"28 October, 2023","26 November, 2023",16,"1,697.03","46,333",409,0.88274016,18,83.33,11.11,11.11,0,0,0
120201145151300164,fb,"28 October, 2023","1 November, 2023",4,67.16,"1,816",10,0.55066079295154185022,2,100,0,0,0,0,0
120201145151310164,fb,"28 October, 2023","10 November, 2023",7,310.91,"6,151",46,0.7478458787189075,2,50,50,50,0,"4,500",14.47
120201145151320164,fb,"28 October, 2023","26 November, 2023",23,"4,106.59","94,907",879,0.92616982941195065,43,86.05,30.23,4.65,0,0,0
120201145151330164,fb,"28 October, 2023","23 November, 2023",5,173.93,"4,112",38,0.924124513618677043,2,100,0,0,0,0,0
120201146725400164,fb,"28 October, 2023","15 February, 2024",111,"68,199.8","19,733,361","19,185",0.0972211474771074,791,64.22,15.93,21.49,50,"32,500",0.47654099
120201202282940164,fb,"30 October, 2023","27 November, 2023",13,557.81,"12,055",81,0.67192036,0,,,,,0,0
120201202310990164,fb,"30 October, 2023","6 November, 2023",8,73.62,"1,650",9,0.55,0,,,,,0,0
120201202382060164,fb,"31 October, 2023","7 December, 2023",25,954.35,"20,636",127,0.61542934677263035,0,,,,,0,0
120201202441020164,fb,"30 October, 2023","26 November, 2023",22,471.86,"9,612",48,0.49937578027,0,,,,,0,0
120201202482630164,fb,"31 October, 2023","21 December, 2023",18,716.8,"19,292",123,0.63756997719261870205,0,,,,,0,0
120201202557990164,fb,"31 October, 2023","2 December, 2023",24,"1,553","47,226",321,0.679710329056028,0,,,,,0,0
120201264831220164,fb,"2 November, 2023","11 November, 2023",3,91.3,"1,628",3,0.18,0,,,,,0,0
120201264977830164,fb,"10 November, 2023","27 December, 2023",37,"5,236.92","126,841",533,0.42021113047043148509,0,,,,,0,0
120201264990030164,fb,"2 November, 2023","1 December, 2023",17,"1,737.05","41,173",153,0.37160274937459014403,0,,,,,0,0
120201265025760164,fb,"2 November, 2023","26 January, 2024",81,"91,852.62","2,887,782","12,539",0.43420867641671013,0,,,,,0,0
120201265306290164,fb,"2 November, 2023","25 November, 2023",7,536.51,"12,005",67,0.55810079133694294044,0,,,,,0,0
120201265306310164,fb,"2 November, 2023","19 November, 2023",5,268.93,"4,287",25,0.583158385817588057,0,,,,,0,0
120201265306330164,fb,"2 November, 2023","9 November, 2023",6,159.47,"2,962",20,0.675219446320054018,0,,,,,0,0
120201265306340164,fb,"2 November, 2023","4 November, 2023",3,66.14,"1,320",5,0.38,0,,,,,0,0
120201265306350164,fb,"2 November, 2023","11 November, 2023",5,335.68,"6,230",20,0.32102728731942215088,0,,,,,0,0
120201265306360164,fb,"2 November, 2023","4 November, 2023",3,20.7,"1,636",5,0.30562347188264059,0,,,,,0,0
120201265306370164,fb,"2 November, 2023","30 November, 2023",12,"1,862","43,667",254,0.58167494904619049,0,,,,,0,0
120201265306380164,fb,"2 November, 2023","3 November, 2023",2,156.41,"3,837",14,0.36486838676049,0,,,,,0,0
120201266645780164,fb,"2 November, 2023","15 November, 2023",13,66.84,"3,148",4,0.12706480305,0,,,,,0,0
120201266837940164,fb,"2 November, 2023","1 January, 2024",60,"13,567.63","727,595","2,879",0.4,453,77.92,34.44,2.65,0,"53,000",3.91
120201266868250164,fb,"2 November, 2023","16 January, 2024",63,"11,673.54","642,568","2,682",0.42,442,75.79,36.43,1.13,0,"23,500",2.01
120201266883990164,fb,"2 November, 2023","30 November, 2023",22,"1,253.3","74,984",318,0.42409047,44,88.64,11.36,15.91,0,"4,500",3.59
120201266891160164,fb,"2 November, 2023","26 January, 2024",67,821.41,"96,640",236,0.244205298013245033,30,90,23.33,16.67,0,500,0.60870941429980156073
120201267301450164,fb,"2 November, 2023","20 November, 2023",2,184.08,"4,554",51,1.12,3,66.67,66.67,0,0,0,0
120201267301470164,fb,"2 November, 2023","24 November, 2023",6,165.18,"4,470",53,1.19,1,100,0,0,0,0,0
120201267301480164,fb,"2 November, 2023","28 November, 2023",12,338.84,"9,962",103,1.03,4,100,0,0,0,0,0
120201267301510164,fb,"2 November, 2023","27 November, 2023",6,233.32,"6,793",55,0.8097,1,0,0,0,0,0,0
120201267301540164,fb,"2 November, 2023","27 November, 2023",13,659.96,"17,457",162,0.92799450077332875064,12,83.33,8.33,33.33,0,0,0
120201267363850164,fb,"2 November, 2023","29 November, 2023",21,"3,407.89","94,693","1,024",1.08,34,73.53,29.41,8.82,0,"3,000",0.88031010390593593103
120201267370260164,fb,"2 November, 2023","27 November, 2023",15,707.16,"25,044",255,1.02,10,100,40,10,0,"4,000",5.66
120201267374160164,fb,"2 November, 2023","6 November, 2023",4,304.51,"7,218",55,0.76198392906622333056,4,25,25,25,0,0,0
120201267423010164,fb,"2 November, 2023","6 November, 2023",5,103.04,"2,681",21,0.78,1,0,0,0,0,0,0
120201267724170164,fb,"2 November, 2023","15 November, 2023",14,14.06,299,2,0.66889632107023,0,,,,,0,0
120201267724180164,fb,"2 November, 2023","6 January, 2024",15,58.89,"1,584",18,1.14,0,,,,,0,0
120201267724190164,fb,"2 November, 2023","6 January, 2024",10,1.54,41,0,0,0,,,,,0,0
120201267724200164,fb,"2 November, 2023","24 January, 2024",42,"3,772.88","117,426",875,0.7451501371076,0,,,,,0,0
120201267724210164,fb,"2 November, 2023","6 January, 2024",13,3.19,205,1,0.48780487804878049,0,,,,,0,0
120201267724230164,fb,"2 November, 2023","6 January, 2024",14,18.05,219,3,1.37,0,,,,,0,0
120201267724260164,fb,"2 November, 2023","6 January, 2024",17,873.46,"20,097",148,0.74,0,,,,,0,0
120201267724270164,fb,"2 November, 2023","29 November, 2023",9,162.68,"2,618",13,0.49656226126814362108,0,,,,,0,0
120201267724280164,fb,"2 November, 2023","6 January, 2024",12,1.89,46,0,0,0,,,,,0,0
120201267724290164,fb,"2 November, 2023","6 January, 2024",12,14.49,145,1,0.6896551724137931035,0,,,,,0,0
120201267724300164,fb,"2 November, 2023","6 January, 2024",12,13.97,213,0,0,0,,,,,0,0
120201293849740164,fb,"3 November, 2023","30 November, 2023",19,"1,476.56","36,260",424,1.17,22,81.82,45.45,4.55,0,0,0
120201293849750164,fb,"3 November, 2023","5 November, 2023",2,59.99,"2,264",21,0.92756183745583039,0,,,,,0,0
120201293849770164,fb,"3 November, 2023","30 November, 2023",14,663.63,"23,877",287,1.2,13,84.62,30.77,0,0,0,0
120201293849780164,fb,"3 November, 2023","3 November, 2023",1,78.47,"2,848",31,1.09,0,,,,,0,0
120201293849790164,fb,"3 November, 2023","3 November, 2023",1,19.04,784,2,0.25510204081632653061,0,,,,,0,0
120201293849810164,fb,"3 November, 2023","25 November, 2023",7,118.24,"5,944",28,0.471063257066,4,25,25,0,0,0,0
120201293849820164,fb,"3 November, 2023","30 November, 2023",21,"1,546.48","41,290",346,0.8379752966820053,16,75,18.75,6.25,0,"4,000",2.59
120201293849830164,fb,"3 November, 2023","17 November, 2023",9,304.68,"7,860",98,1.25,6,83.33,16.67,16.67,0,0,0
120201293849840164,fb,"3 November, 2023","3 November, 2023",1,132.6,"3,476",47,1.35,1,100,0,0,0,0,0
120201293849850164,fb,"3 November, 2023","27 November, 2023",16,"1,337.32","41,838",456,1.09,10,100,30,10,0,"4,000",2.99
120201293849860164,fb,"3 November, 2023","30 November, 2023",7,93.63,"3,747",30,0.8006405124099,0,,,,,0,0
120201302081040164,fb,"3 November, 2023","6 November, 2023",2,100.76,"2,532",32,1.26,1,100,100,0,0,0,0
120201307777190164,fb,"3 November, 2023","4 November, 2023",2,541.96,"16,074",96,0.597237775289287047,0,,,,,0,0
120201336598460164,fb,"5 November, 2023","26 November, 2023",8,422.79,"12,927",138,1.07,4,50,25,0,0,0,0
120201336598510164,fb,"5 November, 2023","14 November, 2023",2,117.76,"2,800",29,1.04,2,100,0,0,0,0,0
120201336598530164,fb,"5 November, 2023","26 November, 2023",7,56.22,"2,475",12,0.48,1,0,100,0,0,0,0
120201336598540164,fb,"5 November, 2023","3 December, 2023",24,"2,279.47","88,733","1,067",1.2,45,91.11,26.67,4.44,0,0,0
120201336717900164,fb,"5 November, 2023","29 November, 2023",3,25.7,"1,259",4,0.31771247021,0,,,,,0,0
120201336763450164,fb,"5 November, 2023","22 November, 2023",8,72.71,"3,991",9,0.22550739163117013,0,,,,,0,0
